detalle_id,pedido_id,producto_id,cantidad,precio_lista,precio_unitario,costo_unitario,descuento_aplicado,cliente_id,fecha_pedido,canal_venta,medio_pago,tipo_envio,estado_pedido,costo_envio_linea
27,1,41,2,45.0,45.0,19.88,0.0,35,2023-01-16,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
233,2,18,1,25.0,23.75,11.18,0.05,214,2023-02-05,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1261,3,25,2,28.0,28.0,12.8,0.0,993,2023-02-08,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
998,4,35,1,40.0,40.0,17.78,0.0,834,2023-02-12,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
1053,5,24,1,12.0,12.0,5.33,0.0,859,2023-02-14,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
691,6,49,2,29.0,29.0,13.22,0.0,544,2023-02-20,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.07
1396,7,1,1,1400.0,1400.0,1057.27,0.0,1087,2023-02-21,Online,Tarjeta de Debito,Entrega Estandar,Entregado,36.58
235,8,13,1,1100.0,1045.0,873.55,0.05,214,2023-02-27,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
908,9,31,1,8.0,8.0,3.56,0.0,724,2023-03-01,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1051,10,44,1,16.0,16.0,7.17,0.0,859,2023-03-11,Online,Tarjeta de Debito,Entrega Estandar,Entregado,3.78
1052,10,24,2,12.0,12.0,5.43,0.0,859,2023-03-11,Online,Tarjeta de Debito,Entrega Estandar,Entregado,3.78
826,11,37,1,22.0,22.0,9.71,0.0,662,2023-03-13,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
718,12,13,1,1100.0,1100.0,886.52,0.0,561,2023-03-14,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
719,12,5,1,1600.0,1600.0,1303.99,0.0,561,2023-03-14,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
874,13,15,1,60.0,60.0,47.76,0.0,690,2023-03-17,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
875,13,11,1,80.0,80.0,47.97,0.0,690,2023-03-17,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
962,15,4,1,350.0,350.0,258.6,0.0,796,2023-03-19,Online,Transferencia,Entrega Estandar,Entregado,13.44
234,18,34,1,29.0,29.0,13.07,0.0,214,2023-03-19,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
1389,14,45,1,10.0,10.0,4.43,0.0,1087,2023-03-19,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1390,17,2,1,1200.0,1200.0,913.72,0.0,1087,2023-03-19,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1392,17,4,1,350.0,350.0,260.13,0.0,1087,2023-03-19,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1391,17,26,1,45.0,45.0,20.44,0.0,1087,2023-03-19,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
803,16,37,1,22.0,22.0,10.01,0.0,647,2023-03-19,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
