pedido_id,cliente_id,fecha_pedido,canal_venta,medio_pago,estado_pedido,tipo_envio,costo_envio
1,35,2023-01-16,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
2,214,2023-02-05,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
3,993,2023-02-08,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
4,834,2023-02-12,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
5,859,2023-02-14,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
6,544,2023-02-20,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.07
7,1087,2023-02-21,Online,Tarjeta de Debito,Entregado,Entrega Estandar,36.58
8,214,2023-02-27,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
9,724,2023-03-01,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
10,859,2023-03-11,Online,Tarjeta de Debito,Entregado,Entrega Estandar,7.55
11,662,2023-03-13,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
12,561,2023-03-14,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
13,690,2023-03-17,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
14,1087,2023-03-19,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
15,796,2023-03-19,Online,Transferencia,Entregado,Entrega Estandar,13.44
16,647,2023-03-19,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
17,1087,2023-03-19,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
18,214,2023-03-19,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
19,577,2023-03-20,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
20,422,2023-03-21,Online,Transferencia,Entregado,Entrega Estandar,37.81
21,331,2023-03-23,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
22,254,2023-03-25,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
