detalle_id,pedido_id,producto_id,cantidad,precio_lista,precio_unitario,costo_unitario,descuento_aplicado
1,674,34,1,29.0,29.0,12.86,0.0
2,139,7,1,700.0,700.0,561.47,0.0
3,133,3,1,600.0,600.0,457.91,0.0
4,681,22,1,22.0,22.0,9.79,0.0
5,194,30,2,10.0,10.0,4.45,0.0
6,194,42,2,32.0,32.0,14.5,0.0
7,731,27,1,32.0,32.0,14.34,0.0
8,833,13,1,1100.0,1100.0,866.03,0.0
9,833,11,1,80.0,80.0,48.9,0.0
10,431,30,1,10.0,10.0,4.46,0.0
11,887,45,1,10.0,10.0,4.51,0.0
12,887,34,1,29.0,29.0,13.09,0.0
13,887,32,1,18.0,18.0,8.06,0.0
14,188,28,2,55.0,55.0,24.84,0.0
15,263,45,2,10.0,10.0,4.48,0.0
16,1047,32,1,18.0,18.0,8.11,0.0
17,1047,22,1,22.0,22.0,9.84,0.0
18,971,50,2,40.0,40.0,17.99,0.0
19,971,25,1,28.0,26.6,12.59,0.05
20,205,43,2,55.0,55.0,25.13,0.0
21,320,47,1,18.0,18.0,8.1,0.0
22,354,18,1,25.0,25.0,11.09,0.0
23,545,50,1,40.0,40.0,18.16,0.0
24,98,39,1,12.0,12.0,5.45,0.0
25,98,9,1,400.0,400.0,239.82,0.0
26,821,28,1,55.0,55.0,24.9,0.0
27,1,41,2,45.0,45.0,19.88,0.0
28,245,26,1,45.0,45.0,19.98,0.0
29,312,10,1,45.0,45.0,26.52,0.0
30,312,3,1,600.0,600.0,445.65,0.0
31,1001,24,1,12.0,12.0,5.42,0.0
32,239,5,1,1600.0,1600.0,1302.9,0.0
33,239,8,1,280.0,280.0,221.46,0.0
34,285,35,1,40.0,40.0,17.98,0.0
35,163,6,1,850.0,850.0,682.74,0.0
36,163,9,1,400.0,400.0,242.83,0.0
37,640,2,1,1200.0,1200.0,888.04,0.0
38,640,13,1,1100.0,1100.0,886.53,0.0
39,508,38,1,35.0,35.0,15.48,0.0
40,156,8,1,280.0,280.0,227.22,0.0
41,156,15,1,60.0,60.0,48.01,0.0
42,94,26,1,45.0,42.75,19.92,0.05
